,store_num,city,sale_sum,sale_mean,county_num,zip_code,liters_sold_sum,liters_sold_mean,price_per_liter_mean,margin_mean,q1_2015_sales,q1_2016_sales
451,4148,INDEPENDENCE,30025.61,198.845099338,10,50644,2705.37,17.9163576159,16.4361076947,5.08986754967,1876.45,1425.48
452,4149,DENISON,7981.97,147.814259259,24,51442,663.0,12.2777777778,14.3731216931,4.71222222222,1362.69,1918.9
453,4150,WATERLOO,21516.76,176.366885246,7,50701,1839.75,15.0799180328,14.9175800156,4.71327868852,1176.58,1460.65
454,4152,MISSOURI VALLEY,23043.18,44.744038835,43,51555,1862.14,3.61580582524,16.3364486713,4.71396116505,3753.69,2384.15
455,4153,EVANSDALE,12719.7,109.652586207,7,50707,984.25,8.4849137931,14.1256978654,4.39965517241,715.92,881.69
456,4154,HIAWATHA,9997.7,62.485625,57,52233,846.0,5.2875,13.780077381,4.5370625,831.78,453.6
457,4155,MARION,17417.8,174.178,57,52302,1451.1,14.511,12.9699392857,4.3916,1117.29,734.86
458,4156,OELWEIN,41342.01,227.153901099,33,50662,3438.15,18.8909340659,13.926681057,4.34010989011,1485.16,1395.84
459,4157,NORTH LIBERTY,20991.18,132.02,52,52317,1625.25,10.2216981132,15.482982929,4.72628930818,1863.19,5769.95
460,4158,CARROLL,25619.1,177.910416667,14,51401,2517.0,17.4791666667,14.5695238095,4.72895833333,10115.58,1990.38
461,4159,COUNCIL BLUFFS,23677.14,315.6952,78,51503,1866.75,24.89,14.3742984127,4.8984,1149.21,167.16
462,4160,IOWA CITY,9650.83,92.7964423077,52,52240,771.15,7.41490384615,14.6981868132,4.57413461538,1119.0,978.3
463,4161,IOWA CITY,10244.83,116.418522727,52,52246,883.5,10.0397727273,13.7564069264,4.6525,2818.44,790.68
464,4162,CEDAR RAPIDS,25356.49,161.506305732,57,52404,2171.0,13.8280254777,14.3696026691,4.8378343949,2541.66,4842.91
465,4163,STORM LAKE,11573.57,120.558020833,11,50588,1213.5,12.640625,14.8649107143,4.5375,1330.66,5871.86
466,4164,BETTENDORF,22642.35,80.2920212766,82,52722,1682.93,5.96783687943,18.1142565412,4.31315602837,2617.26,1884.69
467,4165,ANKENY,15948.58,44.0568508287,77,50023,875.67,2.41897790055,22.3504056876,6.25839779006,1759.18,1330.33
468,4166,JESUP,9385.27,51.852320442,10,50648,775.75,4.28591160221,15.6677479611,4.95436464088,1360.0,1192.25
469,4167,DUBUQUE,215110.71,189.358019366,31,52001,13100.97,11.5325440141,20.6602339586,5.63465669014,19746.72,25884.58
470,4169,DES MOINES,9042.51,85.3066981132,77,50317,598.67,5.64783018868,18.9483557951,3.96603773585,1530.12,1078.32
471,4170,WEST BRANCH,5315.21,23.2105240175,16,52358,463.04,2.02200873362,14.5346712305,3.8811790393,892.06,430.69
472,4171,CASCADE,18062.97,126.314475524,31,52033,1553.75,10.8653846154,12.7645521146,4.5365034965,4064.66,2751.86
473,4172,ALDEN,11225.08,96.7679310345,42,50006,770.24,6.64,17.4553006979,6.25,1765.98,1254.9
474,4173,PAULLINA,5993.48,63.0892631579,71,51046,486.86,5.12484210526,15.820057776,5.63631578947,578.83,644.29
475,4176,CEDAR RAPIDS,15162.81,81.9611351351,57,52405,1138.4,6.15351351351,17.1676344916,4.40005405405,1461.71,1714.44
476,4177,LE GRAND,8357.41,29.8478928571,64,50142,614.1,2.19321428571,16.6902450636,4.46389285714,1178.13,1227.48
477,4180,MARION,20653.79,55.2240374332,57,52302,1525.84,4.07978609626,19.6610805843,3.44561497326,1984.45,2655.16
478,4182,DYERSVILLE,22124.46,158.031857143,31,52040,2215.5,15.825,13.7446258503,4.31685714286,5471.47,1690.62
479,4183,DECORAH,29596.64,113.833230769,96,52101,2070.5,7.96346153846,17.0038644689,5.17657692308,2182.93,2833.15
480,4184,MUSCATINE,11383.96,96.4742372881,70,52761,930.0,7.8813559322,15.6149313963,4.93661016949,1166.95,1869.09
481,4185,GRINNELL,19344.95,109.293502825,79,50112,1778.75,10.0494350282,16.2110842077,4.95983050847,1686.52,3693.07
482,4186,DES MOINES,8030.5,58.1920289855,77,50321,575.48,4.17014492754,19.2586163238,4.5568115942,1333.6,699.67
483,4189,MANCHESTER,11468.86,136.534047619,28,52057,1080.8,12.8666666667,14.1553769841,4.3805952381,638.5,2814.0
484,4190,JEFFERSON,12227.48,72.3519526627,37,50129,932.25,5.51627218935,15.041746971,4.49650887574,1756.68,932.6
485,4191,PELLA,23735.16,370.861875,63,50219,1751.01,27.35953125,19.2284829261,5.36453125,572.38,10400.93
486,4192,BETTENDORF,8396.52,110.480526316,82,52722,744.0,9.78947368421,13.7259649123,4.54881578947,450.06,782.78
487,4193,HARTLEY,8139.79,45.9875141243,71,51346,622.87,3.51903954802,15.7589137745,4.44937853107,869.79,1013.34
