,,,,Margin,Dollars,Dollars,Dollars,Sale_Date,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,day_of_sale,DaysOpen,AverageSalesPerDay,MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),Dominant_Sale_Category
,,,,Mean2015,AverageDollars2015,NumberOfSales2015,TotalDollars2015,DaysOpenTemp,AverageVolume2015,TotalVolume2015,Median2015,DaysOpenTemp,,,Median2015q1,AverageDollars2015q1,TotalDollars2015q1,Mean2015q1,AverageVolume2015q1,TotalVolume2015q1,Median2016q1,AverageDollars2016q1,TotalDollars2016q1,Mean2016q1,AverageVolume2016q1,TotalVolume2016q1,
Store Number,Zip Code,City,County Number,,,,,,,,,,,,,,,,,,,,,,,,
2543,52501,OTTUWMA,90.0,4.50863697706,83.5756815115,741.0,61929.58,1970-01-01 00:00:00.000000052,5.58282051282,4136.87,0.333333333333,3,3,4.75,0.333333333333,78.1658169935,11959.37,4.93620915033,5.05150326797,772.88,0.333333333333,71.0564,12434.87,4.32022857143,4.63462857143,811.06,
2544,50158,MARSHALLTOWN,64.0,5.08331802526,138.933214696,871.0,121010.83,1970-01-01 00:00:00.000000053,9.21,8021.91,0.333333333333,4,4,4.1875,0.333333333333,139.756017699,31584.86,5.48849557522,9.04960176991,2045.21,0.333333333333,135.119147982,30131.57,4.82618834081,9.68941704036,2160.74,
2545,52245,IOWA CITY,52.0,5.20058823529,72.0169010043,697.0,50195.78,1970-01-01 00:00:00.000000052,4.44418938307,3097.6,0.333333333333,4,4,3.35096153846,0.333333333333,56.0162987013,8626.51,5.08350649351,3.53162337662,543.87,0.333333333333,55.8878014184,7880.18,4.97127659574,3.63163120567,512.06,
2548,50009,ALTOONA,77.0,4.8773877551,132.973768707,735.0,97735.72,1970-01-01 00:00:00.000000055,9.01118367347,6623.22,0.333333333333,4,4,3.53365384615,0.333333333333,103.310540541,15289.96,4.62939189189,7.25033783784,1073.05,0.333333333333,205.71915493,29212.12,4.02626760563,15.9200704225,2260.65,
2549,50125,INDIANOLA,91.0,4.93734892788,146.064990253,513.0,74931.34,1970-01-01 00:00:00.000000057,11.3587329435,5827.03,0.333333333333,5,5,1.97307692308,0.333333333333,203.746030534,26690.73,5.26816793893,16.9230534351,2216.92,0.333333333333,144.124955752,16286.12,5.32265486726,11.3469026549,1282.2,
2550,50213,OSCEOLA,20.0,4.62279202279,56.4836752137,351.0,19825.77,1970-01-01 00:00:00.000000052,4.26794871795,1498.05,0.333333333333,3,3,2.25,0.333333333333,47.2361363636,4156.78,4.73670454545,3.44602272727,303.25,0.333333333333,73.7858823529,3763.08,4.8037254902,5.03921568627,257.0,
2551,50049,CHARITON,59.0,4.69807692308,89.223021978,364.0,32477.18,1970-01-01 00:00:00.000000052,6.48912087912,2362.04,0.333333333333,3,3,2.33333333333,0.333333333333,87.9944444444,7919.5,4.433,6.29611111111,566.65,0.333333333333,123.358101266,9745.29,4.85405063291,8.37784810127,661.85,
2552,52404,CEDAR RAPIDS,57.0,4.81537525355,102.498985801,986.0,101064.0,1970-01-01 00:00:00.000000053,8.0431643002,7930.56,0.333333333333,4,4,4.74038461538,0.333333333333,101.208978723,23784.11,4.96276595745,8.98570212766,2111.64,0.333333333333,96.5905714286,20284.02,4.79333333333,7.74152380952,1625.72,
2553,50801,CRESTON,88.0,4.95147601476,96.5494464945,271.0,26164.9,1970-01-01 00:00:00.000000052,6.95601476015,1885.08,0.333333333333,3,3,1.73717948718,0.333333333333,98.69,6809.61,5.10550724638,7.45652173913,514.5,0.333520205266,106.019393939,6997.28,4.76484848485,7.47727272727,493.5,
2554,52802,DAVENPORT,82.0,3.8418556701,116.543195876,194.0,22609.38,1970-01-01 00:00:00.000000048,11.7463917526,2278.8,0.333333333333,3,3,1.24358974359,0.333535476046,116.786470588,3970.74,4.04352941176,9.96176470588,338.7,0.333333333333,95.3937254902,4865.08,3.97274509804,9.39705882353,479.25,
