,store_number,zip_code,city,county_name,margin_mean_2015,avg_rev_2015,vol_sales_2015,total_rev_2015,sale_date_(to_delete),avg_vol_2015_litre,total_vol_2015_litre,margin_ratio_2015,day_of_sale,days_open,avg_sales_per_day,margin_ratio_2015_q1,avg_rev_2015_q1,vol_sales_2015_q1,margin_mean_2015_q1,avg_vol_2015_q1__litre,total_vol_2015_q1__litre,margin_ratio_2016_q1,avg_rev_2016_q1,vol_sales_2016_q1,margin_mean_2016_q1,avg_vol_2016_q1__litre,total_vol_2016_q1__litre,Dominant_Sale_Category_(to_delete),forecast_2016
300,3890.0,52405.0,CEDAR RAPIDS,57.0,3.19279026217,30.1976966292,534.0,16125.57,1970-01-01 00:00:00.000000052,2.05033707865,1094.88,0.333333333333,3.0,3.0,3.42307692308,0.333333333333,27.9497931034,4052.72,3.2204137931,1.95517241379,283.5,0.333333333333,38.6906896552,3366.09,3.26022988506,2.74517241379,238.83,,14696.3573491
301,3896.0,52240.0,IOWA CITY,52.0,3.09704022989,59.3200574713,348.0,20643.38,1970-01-01 00:00:00.000000050,3.29304597701,1145.98,0.333333333333,3.0,3.0,2.23076923077,0.333333333333,53.914939759,4474.94,3.36795180723,2.76698795181,229.66,0.333333333333,71.4735555556,3216.31,3.60133333333,3.86733333333,174.03,,14074.6501584
302,3899.0,50266.0,WEST DES MOINES,77.0,5.30907534247,161.970410959,292.0,47295.36,1970-01-01 00:00:00.000000051,12.0308219178,3513.0,0.333408222871,3.0,3.0,1.87179487179,0.33339045008,157.414,9444.84,4.86633333333,13.525,811.5,0.333333333333,153.454864865,11355.66,5.82662162162,10.3175675676,763.5,,47859.4840656
303,3901.0,50501.0,FORT DODGE,94.0,6.48536585366,183.268292683,41.0,7514.0,1970-01-01 00:00:00.000000018,10.2951219512,422.1,0.333410726724,2.0,2.0,0.394230769231,0.333447369548,163.111666667,1957.34,6.23583333333,9.3,111.6,0.333333333333,200.825454545,2209.08,7.22636363636,9.54545454545,105.0,,9893.83740846
304,3907.0,52761.0,MUSCATINE,70.0,3.53775,35.0301666667,240.0,8407.24,1970-01-01 00:00:00.000000051,2.24083333333,537.8,0.333333333333,3.0,3.0,1.53846153846,0.333333333333,36.4401639344,2222.85,3.19,2.31196721311,141.03,0.333333333333,26.3703636364,1450.37,3.19127272727,1.856,102.08,,6744.58208295
305,3909.0,50163.0,MELCHER-DALLAS,63.0,4.92106382979,93.4141134752,141.0,13171.39,1970-01-01 00:00:00.000000044,6.67737588652,941.51,0.333333333333,2.0,2.0,1.35576923077,0.333333333333,109.575,3068.1,5.20107142857,8.07571428571,226.12,0.333370778102,103.711666667,3111.35,5.41466666667,5.79966666667,173.99,,13638.9819334
306,3910.0,52327.0,RIVERSIDE,92.0,6.64782608696,172.978405797,69.0,11935.51,1970-01-01 00:00:00.000000035,8.56884057971,591.25,0.333408222871,3.0,3.0,0.442307692308,0.333333333333,162.78952381,3418.58,6.49666666667,8.57142857143,180.0,0.333333333333,180.609,3612.18,6.8965,9.375,187.5,,15717.8283236
307,3912.0,52405.0,CEDAR RAPIDS,57.0,3.29471111111,32.8571555556,450.0,14785.72,1970-01-01 00:00:00.000000050,2.20875555556,993.94,0.333333333333,2.0,2.0,4.32692307692,0.333333333333,25.3771794872,3958.84,3.19038461538,1.7116025641,267.01,0.333333333333,32.4007954545,2851.27,3.42215909091,2.14181818182,188.48,,12559.4412327
308,3916.0,52501.0,OTTUMWA,90.0,2.89077738516,27.4295053004,283.0,7762.55,1970-01-01 00:00:00.000000051,2.15777385159,610.65,0.333486238532,3.0,3.0,1.8141025641,0.333486449533,24.5112903226,1519.7,2.75096774194,2.19693548387,136.21,0.333453496756,26.8307272727,1475.69,3.06472727273,2.20109090909,121.06,,6849.68040094
309,3917.0,52804.0,DAVENPORT,82.0,3.40234042553,63.9770212766,282.0,18041.52,1970-01-01 00:00:00.000000050,4.44010638298,1252.11,0.333333333333,3.0,3.0,1.80769230769,0.333333333333,63.6395081967,3882.01,3.32540983607,4.37672131148,266.98,0.333333333333,65.6467741935,4070.1,4.15919354839,4.49870967742,278.92,,17618.5637807
