company,culture,job_addr,job_description,job_posted,job_security_advance,job_title,link,management,reviews_score,reviews_total,salary,salary_benefits,salary_bins,work_life_bal,salary_bins_int
University of Chicago,4.1,"Chicago, IL","
Evaluate large data sets with sophisticated quantitative analyses and develop models that translate data into actionable insights in order to solve difficult,...",6 days ago,3.8,"Exec Dir, Strategic Analytics & Data Intelligence",http://www.indeed.com/rc/clk?jk=8edd26bcb4f049ab&fccid=5cb727313a823dd6,3.8,4.3,226,-,4.1,"$70,000+",4.1,70000
Civis Analytics,5.0,"Chicago, IL","
Experience identifying and adapting to imperfect data. Applied Data Scientists collaborate with clients, Civis Analytics’ R&D and Technology teams, and managers...",29 days ago,3.0,Applied Data Science Internship - Summer 2017,http://www.indeed.com/rc/clk?jk=1700bb8d9ccad48b&fccid=85806092f576a90e,3.0,4.0,-,-,3.0,"$70,000+",4.0,70000
LoyaltyOne,3.1,"Chicago, IL","
Data Scientist will provide process execution leadership to support client projects. Take analytical objectives and define data requirements....",30+ days ago,2.4,Senior Data Scientist,http://www.indeed.com/rc/clk?jk=3367bad4f551de62&fccid=2018a73c53179d10,2.3,3.0,30,-,3.5,"$70,000+",3.3,70000
IRI,3.0,"Chicago, IL","
Co nsulting Data Scientist, CSM Research and Development. Interested in innovation, analytics, and working with big data?...",30+ days ago,3.0,R&D Data Science Consultant,http://www.indeed.com/rc/clk?jk=0f43798fe7b0da9b&fccid=62d5a343c489baf2,3.5,3.8,5,-,3.3,"$70,000+",3.8,70000
National Opinion Research Center (NORC),2.6,"Chicago, IL","
NORC at the University of Chicago is seeking a qualified Research Scientist to support the Public Health Research Department in Chicago, IL....",9 days ago,2.0,Research Scientist - Public Health,http://www.indeed.com/rc/clk?jk=b108799a6c1aa2a8&fccid=ce11e89c8a8e1f91,2.3,2.8,-,-,2.1,"$70,000+",3.1,70000
Stericycle,3.1,"Northbrook, IL","
Data Quality - Execute different data analytics (joins, audits, correlation, etc.). Develop partnership with Information Systems to gain insight into upcoming...",30+ days ago,3.0,Data Analyst/Scientist,http://www.indeed.com/rc/clk?jk=ccba1e58b743d323&fccid=bc5afa013c617a43,2.9,3.4,521,-,3.3,"$70,000+",3.3,70000
Hillshire Brands,3.7,"Chicago, IL","
Food Scientist I - Meat. This includes planning, executing experiments, analyzing data, reporting results....",9 hours ago,3.5,Food Scientist I - Meat,http://www.indeed.com/rc/clk?jk=d96c6661e039206d&fccid=3e12e5392c4806e7,3.5,3.9,426,-,4.0,"$70,000+",3.6,70000
Plante Moran,3.6,"Chicago, IL 60606 (Loop area)","
5 years of data analytics or data scientist experience in healthcare or health insurance. SENIOR MANAGER HEALTHCARE DATA ANALYTICS....",21 days ago,3.0,"Senior Manager, Healthcare Data Analytics",http://www.indeed.com/rc/clk?jk=3603e4f7bce71352&fccid=e03f42375788816c,3.1,3.5,29,-,3.4,"$70,000+",3.0,70000
Uber,3.8,"Chicago, IL 60606 (Loop area)","
Composed of researchers, data scientists, and engineers the team makes an impact across Uber. Lead end-to-end qualitative, quantitative, and data analytics...",30+ days ago,3.1,Regional Marketing Research Lead,http://www.indeed.com/rc/clk?jk=c74d423ab98537f1&fccid=f766f8bfbc3effb7,3.4,3.9,135,-,3.4,"$70,000+",4.0,70000
Arcadis:US,-,"Chicago, IL","
Utilizes programs to convert data files into current systems. Provides leadership by working closely with business function areas to understand business...",30+ days ago,-,Business Analyst,http://www.indeed.com/rc/clk?jk=f57dc9ea87462016&fccid=50a558140c3d9cb0,-,3.7,-,-,-,"$70,000+",-,70000
Allstate Insurance,3.7,"Chicago, IL 60601 (Loop area)","
We work collaboratively with both ‘product teams’ and data scientists in support of Allstate business goals....",30+ days ago,3.3,Machine Learning Engineer,http://www.indeed.com/rc/clk?jk=ee5eb3d6f3ac8262&fccid=3a71a4d2f7990a25,3.5,3.9,"2,826",-,3.5,"$70,000+",3.8,70000
Wunderman,3.8,"Chicago, IL","
We are 2,200 creative thinkers, 1,300 data scientists, and 3,500 business minds across 175 offices in 60 countries committed to driving customer engagement....",14 hours ago,3.2,Senior Account Executive,http://www.indeed.com/rc/clk?jk=d86392f1e11d5ab7&fccid=bfef2b2da6904e2a,3.4,3.8,53,-,3.3,"$70,000+",3.5,70000
Tempus,4.0,"Chicago, IL 60654 (Loop area)","
These studies involve analyses of data from candidate genes and genome-wide sequence data across both DNA and RNA....",30+ days ago,3.7,Computational Biologist- Statistical Genetics,http://www.indeed.com/rc/clk?jk=954aabe66164317a&fccid=8525bdcf5722dd27,4.0,4.0,7,-,3.7,"$70,000+",4.3,70000
"AMITA Health Adventist Medical Center, Hinsdale",3.0,"Hinsdale, IL","
Familiar using EHR data. Proficient with insurance claim data. Develops, implements and evaluates documentation formats, validation tests, data collection...",30+ days ago,3.0,SR. HEALTHCARE DATA SCIENTIST,http://www.indeed.com/rc/clk?jk=21eee1dccc74de65&fccid=eaa30a7675d491d9,2.0,4.0,-,-,3.0,"$70,000+",4.0,70000
